,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
486,5.0,6.0,6.0,yes,yes,no,355000000.0,house,Eti-Osa
487,2.0,3.0,3.0,yes,yes,yes,50000000.0,house,Eti-Osa
488,5.0,6.0,6.0,yes,no,no,150000000.0,house,Eti-Osa
489,4.0,5.0,5.0,yes,no,yes,70000000.0,house,Eti-Osa
490,2.0,2.0,3.0,no,no,yes,80000000.0,apartment,Eti-Osa
491,3.0,4.0,4.0,yes,no,yes,170000000.0,house,Eti-Osa
492,5.0,6.0,6.0,yes,yes,no,350000000.0,house,Eti-Osa
493,4.0,5.0,5.0,yes,yes,no,50000000.0,house,Eti-Osa
494,2.0,3.0,3.0,yes,yes,no,72000000.0,house,Eti-Osa
495,4.0,5.0,5.0,yes,yes,yes,65000000.0,house,Eti-Osa
496,5.0,6.0,6.0,yes,yes,yes,75000000.0,house,Eti-Osa
497,4.0,5.0,5.0,yes,no,no,90000000.0,house,Eti-Osa
498,3.0,4.0,4.0,yes,no,yes,130000000.0,house,Eti-Osa
499,1.0,1.0,2.0,yes,yes,yes,180000000.0,house,Eti-Osa
500,4.0,5.0,5.0,yes,no,yes,450000000.0,house,Eti-Osa
501,3.0,4.0,4.0,yes,yes,yes,45000000.0,house,Eti-Osa
502,6.0,7.0,7.0,yes,yes,no,180000000.0,house,Eti-Osa
503,5.0,6.0,6.0,yes,no,no,420000000.0,house,Eti-Osa
504,4.0,5.0,5.0,yes,no,no,58000000.0,house,Eti-Osa
505,4.0,5.0,5.0,yes,yes,no,57000000.0,house,Eti-Osa
506,3.0,4.0,4.0,yes,no,yes,160000000.0,house,Eti-Osa
507,3.0,4.0,4.0,yes,yes,yes,106000000.0,house,Eti-Osa
508,4.0,5.0,5.0,yes,yes,no,85000000.0,house,Eti-Osa
509,4.0,5.0,5.0,yes,yes,no,95000000.0,house,Eti-Osa
510,4.0,5.0,5.0,yes,no,yes,75000000.0,house,Eti-Osa
511,4.0,5.0,5.0,yes,yes,no,90000000.0,house,Eti-Osa
512,5.0,6.0,6.0,yes,yes,no,180000000.0,house,Eti-Osa
513,2.0,3.0,3.0,yes,no,yes,115000000.0,house,Eti-Osa
514,5.0,6.0,6.0,yes,yes,no,180000000.0,house,Eti-Osa
515,4.0,5.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
516,3.0,4.0,4.0,no,no,yes,145000000.0,house,Eti-Osa
517,5.0,6.0,6.0,yes,yes,no,330000000.0,house,Eti-Osa
