Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
8 Numbers Of 2 Bedroom Flats,2 BEDROOM HOUSE FOR SALE,"Command, Meiran Alimosho Lagos",2.0,2.0,2.0,0,0,0,100000000
3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Off Love All Ikosi Ketu Kosofe Ikosi Lagos,3.0,0.0,0.0,0,0,0,120000000
4 Blocks Of 2 Bedroom Flat,2 BEDROOM HOUSE FOR SALE,Oke Ira Ogba Lagos,2.0,0.0,0.0,0,0,0,65000000
2 Units Of 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,4.0,0.0,0.0,0,0,0,60000000
Shopping Plaza,COMMERCIAL PROPERTY FOR SALE,Ijaiye Ifako Agege Lagos,0.0,0.0,0.0,0,0,0,160000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,0.0,0.0,0,0,0,86000000
4 Bedroom Bungalow,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,0.0,0.0,0,0,0,35000000
6 Numbers Of 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Surulere Lagos,2.0,0.0,0.0,0,0,0,100000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,4.0,0.0,0.0,0,0,0,145000000
Hotel,COMMERCIAL PROPERTY FOR SALE,Victoria Island Lagos,,0.0,0.0,0,0,0,1300000000
7 Numbers Of Flats,HOUSE FOR SALE,Baruwa Ipaja Lagos,,0.0,0.0,0,0,0,60000000
3 Bedroom Flat,9 BEDROOM HOUSE FOR SALE,Coker Road Ilupeju Lagos,9.0,0.0,0.0,0,0,0,200000000
2 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Mill Estate Gbagada Lagos,3.0,0.0,0.0,0,0,0,60000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,0.0,0.0,0,0,0,130000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Ekoro Junction Abule Egba Lagos,3.0,0.0,0.0,0,0,0,18000000
Relatively New 4 Bedrooms Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Off Lanre Awolokun Phase 2 Gbagada Lagos,4.0,0.0,0.0,0,0,0,75000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,1004 Victoria Island Lagos,3.0,0.0,0.0,0,0,0,6000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Meiran Alimosho Lagos,3.0,4.0,4.0,0,0,0,10000000
Warehouse,COMMERCIAL PROPERTY FOR SALE,Adekunle Yaba Lagos,0.0,0.0,0.0,0,0,0,45000000
