Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
"4bedroom Terrace Duplex + A Room Bq, Swimming Pool...",4 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,4.0,4.0,4.0,0,0,1,450000000
Finished 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,75000000
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Ajah Lagos,4.0,4.0,5.0,1,0,0,200000000
4 Bedroom Fully Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,"Idado Estate, Idado Lekki Lagos",4.0,4.0,5.0,1,0,0,145000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,"Orchid Road, Lekki Lagos",4.0,5.0,5.0,1,1,0,68000000
4 Bedroom Massionette,4 BEDROOM HOUSE FOR SALE,Adeniyi Jones Ikeja Lagos,4.0,5.0,5.0,1,0,0,140000000
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajao Estate Isolo Lagos,4.0,5.0,5.0,1,0,0,100000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Alimosho Lagos,5.0,5.0,5.0,0,0,0,25000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Parkview Estate Ikoyi Lagos,3.0,4.0,4.0,1,0,1,145000000
Bareland Measuring 620sqm,LAND FOR SALE,Phase 1 Gbagada Lagos,0.0,0.0,0.0,0,0,0,55000000
Luxury Built 4bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,100000000
Office Complex,COMMERCIAL PROPERTY FOR SALE,Victoria Island Lagos,0.0,0.0,0.0,0,0,0,12000000000
Luxury 5dedroom Duplex!!!,5 BEDROOM HOUSE FOR SALE,"Magodo Gra Phase 2, Shangisha Kosofe Ikosi Lagos",5.0,6.0,6.0,0,0,0,200000000
3bedroom Flat + A Room Bq!!!,3 BEDROOM FLAT / APARTMENT FOR SALE,Ikoyi Lagos,3.0,4.0,4.0,1,0,1,320000000
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,5.0,6.0,6.0,1,0,0,290000000
2 Bedroom Bungalow,2 BEDROOM HOUSE FOR SALE,Off Agbelekale Bustop Off Ekoro Road Alimosho Lagos,2.0,3.0,3.0,0,0,0,17000000
5 Bedroom Terrace Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,0,185000000
Newly Built 4 Bedroom Fully Detached Duplex With A Bq,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,0,0,60000000
Finished Mini Flat,1 BEDROOM FLAT / APARTMENT FOR SALE,Phase 1 Gbagada Lagos,1.0,2.0,2.0,1,1,1,15000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ogudu Gra Ogudu Lagos,4.0,5.0,5.0,1,0,1,170000000
Luxury Built 3bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Ilupeju Lagos,3.0,4.0,4.0,1,0,1,104000000
4 Bedroom Bungalow,4 BEDROOM HOUSE FOR SALE,Ayobo Ipaja Lagos,4.0,0.0,0.0,0,0,0,20000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Orchid Road, Lekki Lagos",5.0,6.0,6.0,1,0,0,105000000
5 Bedroom Terrace Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,0,170000000
6 Numbers Of 2 Bedroom Flat,HOUSE FOR SALE,"General Hospital Road, Gbagada Lagos",0.0,0.0,0.0,0,0,0,140000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,6.0,1,0,0,530000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,65000000
5bedroom Fully Detached Duplex + A Room Bq,5 BEDROOM HOUSE FOR SALE,Shangisha Kosofe Ikosi Lagos,5.0,5.0,5.0,1,0,0,220000000
4 Units Of 5 Bedroom Mansionette,5 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,5.0,0.0,0.0,0,0,0,$1200000
5 Bedrooms Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,0,600000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Medina Gbagada Lagos,3.0,0.0,0.0,0,0,0,55000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,0.0,0.0,0,0,0,58000000
4 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Off Ayodele Okeowo Street Deeper Life Church Gbagada Lagos,3.0,0.0,0.0,0,0,0,120000000
Luxury 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,5.0,5.0,1,0,0,120000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,Ologolo Lekki Lagos,2.0,3.0,3.0,1,0,1,45000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Abraham Adesanya Estate Ajah Lagos,3.0,0.0,0.0,0,0,0,48000000
Shopping Plaza,COMMERCIAL PROPERTY FOR SALE,Ijaye Alimosho Lagos,0.0,0.0,0.0,0,0,0,160000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Alimosho Lagos,4.0,5.0,5.0,0,0,0,70000000
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,65000000
Joint Venture,LAND FOR SALE,Ologolo Lekki Lagos,0.0,0.0,0.0,0,0,0,150000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,5.0,5.0,6.0,1,0,0,150000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Tollgate Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,68000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,"Ajao Estate, Oshodi Lagos",4.0,5.0,5.0,1,0,0,110000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,"Coopelag Estate, Lekki Lagos",4.0,5.0,5.0,0,0,1,65000000
3 Bedroom Luxury Flat + Bq,3 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,3.0,3.0,3.0,0,0,0,125000000
Furnished 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Oniru Victoria Island Lagos,3.0,4.0,4.0,1,1,1,280000000
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,0,70000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Idado Lekki Lagos,5.0,6.0,6.0,1,0,0,150000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Surulere Lagos,3.0,0.0,0.0,0,0,0,68000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,5.0,5.0,1,0,0,100000000
Beautiful 2 Numbers Of 2 Bedroom Bungalow,2 BEDROOM HOUSE FOR SALE,"Off Adeniran Ogunsanya, Surulere Lagos",2.0,3.0,3.0,0,0,0,150000000
3 Bedroom Block Of 4 Flat,HOUSE FOR SALE,Millenuim Ups Gbagada Lagos,0.0,0.0,0.0,0,0,0,85000000
6 Units Of 2 Bedroom Flats,2 BEDROOM HOUSE FOR SALE,Ifelodun/ora Ekpen Off Gen. Hospital Rd/ Idowu Ajayi Off Diya Rd Gbagada Lagos,2.0,0.0,0.0,0,0,0,140000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,6.0,1,0,0,750000000
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,0,1,1,75000000
Story Building,HOUSE FOR SALE,Surulere Lagos,0.0,0.0,0.0,0,0,0,50000000
Newly Built 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,0,110000000
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,110000000
Solid Block Of 4 Flats,HOUSE FOR SALE,Ayo Elegbede Str Off Adetola Road Aguda Surulere Lagos,,0.0,0.0,0,0,0,80000000
1 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR SALE,Chevron Lekki Lagos,1.0,0.0,2.0,0,0,0,21000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,68000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,"Yabatech,gra Yaba Lagos",2.0,3.0,3.0,0,1,0,75000000
6 Units Of 3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Mafoluku Oshodi Lagos,3.0,0.0,0.0,0,0,0,58000000
4 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Ikeja Lagos,3.0,0.0,0.0,0,0,0,140000000
Newly Built 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,2.0,2.0,3.0,1,0,0,60000000
2 Bedroom Bungalow,2 BEDROOM HOUSE FOR SALE,"Love Estate, Mowo Kekere, Off Ijede Road Ijede Ikorodu Lagos",2.0,0.0,0.0,0,0,0,18000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,Lekki Lagos,2.0,0.0,0.0,0,0,0,43500000
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Oke Ira Ogba Lagos,3.0,4.0,4.0,1,0,0,40000000
4& 5bedroom Detached Duplexes!!,5 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,5.0,6.0,6.0,1,0,0,130000000
4 Numbers Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Oke Ira Ogba Lagos,3.0,0.0,0.0,0,0,0,50000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Millenuim Ups Gbagada Lagos,4.0,5.0,5.0,0,0,0,100000000
Luxury Built 5bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,0,1,0,220000000
5 Bedroom Duplex,5 BEDROOM FLAT / APARTMENT FOR SALE,Alimosho Lagos,5.0,5.0,5.0,0,0,0,25000000
Newly Built 4 Bedrooms Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Tollgate Lekki Lagos,4.0,4.0,5.0,1,0,1,65000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,"Orchid Road, Lekki Lagos",4.0,5.0,5.0,1,0,0,85000000
3 Bedroom Bungalow,6 BEDROOM HOUSE FOR SALE,Adeniran Ogunsanya Surulere Lagos,6.0,0.0,0.0,0,0,0,155000000
6 Bedroom Duplex,6 BEDROOM HOUSE FOR SALE,Ibeshe Ikorodu Lagos,6.0,0.0,0.0,0,0,0,40000000
Massive 5bedroom Fully Detached Duplex!!!,5 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,5.0,5.0,5.0,0,0,0,350000000
Newly Built 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,3.0,3.0,4.0,1,0,0,55000000
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,2.0,0.0,0.0,0,0,0,50000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Oke Afa Isolo Lagos,4.0,5.0,5.0,0,0,0,55000000
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Gardens Estate Ajah Lagos,4.0,4.0,5.0,1,0,0,80000000
4bedroom Fully Detached Duplex+ A Penthouse.,4 BEDROOM HOUSE FOR SALE,Alaka Iponri Surulere Lagos,4.0,4.0,4.0,0,0,0,170000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Ikoyi Lagos,3.0,4.0,4.0,1,0,1,250000000
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SALE,Banana Island Ikoyi Lagos,4.0,5.0,5.0,1,0,0,600000
Spacious 3 Bedroom Flat!!!,3 BEDROOM FLAT / APARTMENT FOR SALE,Banana Island Ikoyi Lagos,3.0,4.0,4.0,0,0,1,265000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,6.0,6.0,1,0,0,140000000
3bedroom Flat!!!,3 BEDROOM FLAT / APARTMENT FOR SALE,Off Babs Animashahun Bode Thomas Surulere Lagos,3.0,3.0,3.0,1,0,1,40000000
3 Bedroom Bungalow,3 BEDROOM HOUSE FOR SALE,Off Liasu Rd Council Bustop Alimosho Lagos,3.0,3.0,3.0,0,0,0,15000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Ikate Lekki Lagos,3.0,4.0,4.0,1,0,1,85000000
4 Numbers Of 2 Bedroom Flat,HOUSE FOR SALE,Anthony Village Maryland Lagos,0.0,0.0,0.0,0,0,0,130000000
Block Of Flat,HOUSE FOR SALE,Akoka Yaba Lagos,0.0,0.0,0.0,0,0,0,90000000
4 Bedroom Twin Duplex,4 BEDROOM HOUSE FOR SALE,"Directly On Gbagada Expressway, Beside Kfc, Gbagada Lagos",4.0,0.0,0.0,0,0,0,350000000
3 Units Of 3 Bedroom Flats,HOUSE FOR SALE,Mende Maryland Lagos,0.0,0.0,0.0,0,0,0,140000000
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Palm City Estate Ajah Lagos,4.0,4.0,5.0,1,0,0,75000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,6.0,6.0,1,0,0,190000000
Fully Serviced 1bedroom & 3bedroom Flats...,1 BEDROOM FLAT / APARTMENT FOR SALE,Ilasan Lekki Lagos,1.0,2.0,2.0,1,0,1,32000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Pinnock Beach Estate Osapa London Lekki Lagos,5.0,6.0,6.0,1,0,1,300000000
5 Bedroom Detached Duplex!!,5 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,5.0,6.0,6.0,1,0,0,520000000
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SALE,Ikeja Lagos,4.0,5.0,5.0,0,0,0,200000000
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SALE,"Ijoba, Inside Obasanjo Estate, Abule Egba Lagos",4.0,0.0,0.0,0,0,0,28000000
4 Bedroom Terraced Duplex,4 BEDROOM FLAT / APARTMENT FOR SALE,Ogudu Gra Kosofe Ikosi Lagos,4.0,0.0,0.0,0,0,0,160000000
Luxury 5 Bedrooms Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,0,140000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 2 Kosofe Ikosi Lagos,4.0,5.0,5.0,1,0,0,150000000
Brand New 1 Bedroom Flat,1 BEDROOM HOUSE FOR SALE,Chevron Tollgate Lekki Lagos,1.0,1.0,2.0,1,0,1,28000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Banana Island Ikoyi Lagos,3.0,4.0,4.0,0,0,0,350000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Adeniyi Jones Ikeja Lagos,4.0,5.0,5.0,1,0,0,125000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,"Musa Yaradua, Victoria Island Lagos",3.0,4.0,4.0,1,0,1,250000000
Newly Built 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,220000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Tm Gardens Estate By Bethel Iponri Surulere Lagos,4.0,0.0,0.0,0,0,0,110000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Alaka Iponri Surulere Lagos,4.0,5.0,5.0,0,0,0,80000000
5bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Johnson Street Shomolu Lagos,5.0,4.0,4.0,0,0,0,55000000
Hotel,COMMERCIAL PROPERTY FOR SALE,Ikeja Gra Ikeja Lagos,,0.0,0.0,0,0,0,3500000000
Newly Built 4bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Thomas Estate Ajah Lagos,5.0,5.0,6.0,1,0,0,85000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Eric Moore Surulere Lagos,3.0,4.0,4.0,1,0,0,75000000
Furnished Room Self Contained,1 BEDROOM FLAT / APARTMENT FOR SALE,Fola Agoro Yaba Lagos,1.0,1.0,1.0,0,1,0,3000000
5 Bedroom Bungalow,5 BEDROOM HOUSE FOR SALE,Sangotedo Ajah Lagos,5.0,0.0,0.0,0,0,0,65000000
4 Bedroom Massionate+ Bq,4 BEDROOM HOUSE FOR SALE,Old Ikoyi Ikoyi Lagos,4.0,5.0,5.0,1,0,1,450000000
4 Bedroom Terrace Duplex+ Bq,4 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,1,0,0,125000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Akoka Yaba Lagos,4.0,4.0,4.0,1,0,0,55000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,90000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,65000000
Luxury Built 4bedroom Flat+ A Room Bq Each...,4 BEDROOM FLAT / APARTMENT FOR SALE,Atunrase Medina Gbagada Lagos,4.0,4.0,4.0,1,0,1,70000000
Decent 3bedroom Flat!!!,3 BEDROOM FLAT / APARTMENT FOR SALE,Banana Island Ikoyi Lagos,3.0,4.0,4.0,0,1,1,250000000
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,75000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Lekki Conservation Center Chevron Lekki Lagos,3.0,4.0,4.0,1,0,1,65000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Queens Drive Ikoyi Lagos,4.0,4.0,4.0,0,0,0,700000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Megamond Estate, Ikota Lekki Lagos",5.0,6.0,6.0,1,0,0,200000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,100000000
Newly Built 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Abraham Adasanya Ajah Lagos,3.0,3.0,4.0,1,0,1,50000000
Finished 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,4.0,1,0,0,270000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Eric Moore Surulere Lagos,3.0,4.0,4.0,1,0,0,70000000
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 2 Kosofe Ikosi Lagos,5.0,5.0,5.0,1,0,0,350000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 2 Kosofe Ikosi Lagos,4.0,5.0,5.0,1,0,0,150000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Akesan Alimosho Lagos,5.0,0.0,0.0,0,0,0,65000000
Newly Built 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Alagbado Abule Egba Lagos,3.0,0.0,0.0,0,0,0,16000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,5.0,6.0,6.0,1,0,0,360000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Mende Maryland Lagos,4.0,0.0,0.0,0,0,0,70000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Olowora Ojodu Lagos,5.0,6.0,6.0,1,0,0,150000000
3 Bedroom Bungalow Carcass,3 BEDROOM HOUSE FOR SALE,"Command, Alagbado Alagbado Abule Egba Lagos",3.0,,,0,0,0,25000000
5bedroom Semi Detached Duplex + A Room Bq....,4 BEDROOM HOUSE FOR SALE,"Off Orchid Road, Lekki Lagos",4.0,5.0,5.0,1,0,1,110000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Gardens Estate Ajah Lagos,4.0,4.0,5.0,1,0,0,85000000
3 Bedroom Duplex,3 BEDROOM HOUSE FOR SALE,Akoka Yaba Lagos,3.0,3.0,3.0,0,0,0,50000000
Luxury Built 3bedroom Flat!!!,3 BEDROOM FLAT / APARTMENT FOR SALE,"Shoreline Estate, Ikoyi Lagos",3.0,4.0,4.0,1,0,1,200000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Agbalajobi Estate, Off Wemco Adeniyi Jones Ikeja Lagos",5.0,6.0,6.0,1,0,0,180000000
4bedroom Semi Detached Duplex + A Room Bq...,4 BEDROOM HOUSE FOR SALE,Mende Villa 2 Mende Maryland Lagos,4.0,4.0,4.0,0,0,1,120000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lagos Business School Ajah Ajah Lagos,4.0,4.0,5.0,1,0,0,56000000
4 Bedroom Terrace Duplex+bq,4 BEDROOM HOUSE FOR SALE,Opebi Ikeja Lagos,4.0,5.0,5.0,1,0,1,200000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Adeniyi Jones Ikeja Lagos,4.0,4.0,4.0,1,0,0,210000000
New Complex,COMMERCIAL PROPERTY FOR SALE,Ifako Gbagada Gbagada Lagos,0.0,0.0,0.0,0,0,0,80000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Around Chevron Roundabout Lekki Lagos,4.0,0.0,0.0,0,0,0,70000000
Luxury 4bedroom Terrace Duplexe+ Bq,4 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,4.0,5.0,5.0,1,0,1,210000000
5 Bedroom Detached Duplex!!!,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,6.0,6.0,1,0,0,260000000
3 Bedroom Duplex,3 BEDROOM HOUSE FOR SALE,Anthony Village Maryland Lagos,3.0,0.0,0.0,0,0,0,50000000
Blocks Of Flat,HOUSE FOR SALE,Ogunlana Surulere Lagos,0.0,0.0,0.0,0,0,0,150000000
Joint Venture Bareland,LAND FOR SALE,Lekki Lagos,0.0,0.0,0.0,0,0,0,1700000000
1 & 2 Bedroom Duplex...,1 BEDROOM HOUSE FOR SALE,Alaka Estate Surulere Lagos,1.0,2.0,2.0,1,0,0,30000000
2 Bedrooms Bungalow,2 BEDROOM HOUSE FOR SALE,Abraham Adesanya Estate Ajah Lagos,2.0,2.0,3.0,1,0,0,35000000
Uncompleted Bungalow,HOUSE FOR SALE,"Off Onijemo, Haruna Inside College Road Ogba Lagos",0.0,0.0,0.0,0,0,0,5000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Sangotedo Ajah Lagos,4.0,0.0,0.0,0,0,0,90000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,6.0,6.0,1,0,0,120000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 1 Ojodu Lagos,4.0,5.0,5.0,0,0,0,90000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,1,0,0,120000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,140000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Omole Phase 2 Ojodu Lagos,5.0,6.0,6.0,1,0,0,250000000
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,6.0,6.0,1,0,0,800000000
Luxury Built 2bedroom Flat!!!,2 BEDROOM FLAT / APARTMENT FOR SALE,Ikate Lekki Lagos,2.0,3.0,3.0,1,0,1,60000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,Alagomeji Yaba Lagos,2.0,3.0,3.0,1,0,0,40000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,6.0,6.0,1,0,0,160000000
Luxury Built 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Mojisola Onikoyi Estate Ikoyi Lagos,5.0,5.0,5.0,1,0,0,900000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,5.0,5.0,1,0,0,125000000
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Millenuim Ups Gbagada Lagos,4.0,4.0,4.0,1,1,1,200000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Lekki County, Ikota Lekki Lagos",5.0,6.0,6.0,1,0,0,150000000
Block Of Flats!!!,HOUSE FOR SALE,Aguda Surulere Lagos,,,,0,0,0,90000000
5 Bedrooms Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Idado Estate Idado Lekki Lagos,5.0,5.0,6.0,1,0,0,110000000
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,5.0,6.0,6.0,1,0,0,140000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Lagos,5.0,6.0,6.0,1,0,0,300000000
Furnished 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,1,1,120000000
4 Numbers Of 3 Bedroom Flat,HOUSE FOR SALE,"By Uba Bank, Gbagada Lagos",0.0,0.0,0.0,0,0,0,80000000
Luxury 5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,6.0,6.0,1,0,0,145000000
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Shangisha Kosofe Ikosi Lagos,5.0,6.0,6.0,1,0,0,280000000
Newly Built 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa Estate Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,0,170000000
Newly Built 5 Bedroom Detached House,5 BEDROOM HOUSE FOR SALE,Lekki Lagos,5.0,5.0,6.0,1,0,1,120000000
